name,rings,min,game,min/ring,game/rings,min/game
Adam Morrison,2,965.0,85,482.5,42.5,11.352941176470589
Lamar Odom,2,6303.0,206,3151.5,103.0,30.597087378640776
Sun Sun,1,28.0,10,28.0,10.0,2.8
Shannon Brown,2,2777.0,174,1388.5,87.0,15.959770114942529
Pau Gasol,2,7246.0,192,3623.0,96.0,37.739583333333336
Andrew Bynum,2,4384.0,161,2192.0,80.5,27.229813664596275
Sasha Vujacic,2,2194.0,180,1097.0,90.0,12.188888888888888
Josh Powell,2,1397.0,150,698.5,75.0,9.313333333333333
DJ Mbenga,2,564.0,82,282.0,41.0,6.878048780487805
Metta World Peace,1,3444.0,100,3444.0,100.0,34.44
Shawn Marion,1,2943.0,101,2943.0,101.0,29.138613861386137
Jason Kidd,1,3397.0,101,3397.0,101.0,33.633663366336634
Rodrigue Beaubois,1,496.0,28,496.0,28.0,17.714285714285715
Caron Butler,1,867.0,29,867.0,29.0,29.896551724137932
Tyson Chandler,1,2739.0,95,2739.0,95.0,28.83157894736842
J.J. Barea,1,2059.0,102,2059.0,102.0,20.186274509803923
Corey Brewer,1,1533.0,75,1533.0,75.0,20.44
Peja Stojakovic,1,967.0,52,967.0,52.0,18.596153846153847
Dominique Jones,1,135.0,18,135.0,18.0,7.5
Ian Mahinmi,1,521.0,62,521.0,62.0,8.403225806451612
Jason Terry,1,3248.0,103,3248.0,103.0,31.533980582524272
Brendan Haywood,1,1606.0,90,1606.0,90.0,17.844444444444445
Brian Cardinal,1,655.0,65,655.0,65.0,10.076923076923077
Dirk Nowitzki,1,3330.0,94,3330.0,94.0,35.42553191489362
DeShawn Stevenson,1,1490.0,93,1490.0,93.0,16.021505376344088
Chris Bosh,2,5651.0,168,2825.5,84.0,33.63690476190476
Juwan Howard,2,265.0,44,132.5,22.0,6.0227272727272725
LeBron James,4,13755.0,369,3438.75,92.25,37.27642276422764
Mike Miller,2,2252.0,138,1126.0,69.0,16.318840579710145
Terrel Harris,1,328.0,26,328.0,26.0,12.615384615384615
Mario Chalmers,2,5362.0,187,2681.0,93.5,28.67379679144385
Ronny Turiaf,1,400.0,29,400.0,29.0,13.793103448275861
James Jones,3,1611.0,178,537.0,59.333333333333336,9.05056179775281
Norris Cole,2,3438.0,185,1719.0,92.5,18.583783783783783
Shane Battier,2,4445.0,182,2222.5,91.0,24.423076923076923
Eddy Curry,1,83.0,14,83.0,14.0,5.928571428571429
Dexter Pittman,1,309.0,38,309.0,38.0,8.131578947368421
Joel Anthony,2,2315.0,157,1157.5,78.5,14.745222929936306
Rashard Lewis,1,839.0,66,839.0,66.0,12.712121212121213
Chris Andersen,1,927.0,62,927.0,62.0,14.951612903225806
Jarvis Varnado,1,58.0,13,58.0,13.0,4.461538461538462
Kawhi Leonard,2,5638.0,173,2819.0,86.5,32.589595375722546
Marco Belinelli,1,2372.0,103,2372.0,103.0,23.02912621359223
Danny Green,3,7291.0,284,2430.3333333333335,94.66666666666667,25.672535211267604
Cory Joseph,1,1023.0,85,1023.0,85.0,12.035294117647059
Damion James,1,50.0,5,50.0,5.0,10.0
Patty Mills,1,1878.0,104,1878.0,104.0,18.057692307692307
Jeff Ayres,1,1017.0,90,1017.0,90.0,11.3
Aron Baynes,1,592.0,67,592.0,67.0,8.835820895522389
Tiago Splitter,1,1787.0,82,1787.0,82.0,21.79268292682927
Austin Daye,1,154.0,23,154.0,23.0,6.695652173913044
Boris Diaw,1,2578.0,102,2578.0,102.0,25.274509803921568
Ognjen Kuzmic,1,72.0,16,72.0,16.0,4.5
Brandon Rush,1,278.0,36,278.0,36.0,7.722222222222222
Marreese Speights,1,1274.0,86,1274.0,86.0,14.813953488372093
Justin Holiday,1,668.0,64,668.0,64.0,10.4375
Andre Iguodala,4,7808.0,307,1952.0,76.75,25.433224755700326
David Lee,1,1011.0,62,1011.0,62.0,16.306451612903224
Klay Thompson,4,11492.0,341,2873.0,85.25,33.7008797653959
Andrew Bogut,1,2023.0,86,2023.0,86.0,23.523255813953487
Leandro Barbosa,1,1211.0,87,1211.0,87.0,13.919540229885058
James Michael McAdoo,2,660.0,85,330.0,42.5,7.764705882352941
Draymond Green,4,11476.0,352,2869.0,88.0,32.60227272727273
Stephen Curry,4,11840.0,349,2960.0,87.25,33.92550143266476
Festus Ezeli,1,687.0,66,687.0,66.0,10.409090909090908
Shaun Livingston,3,4899.0,281,1633.0,93.66666666666667,17.434163701067614
Harrison Barnes,1,2999.0,103,2999.0,103.0,29.116504854368934
Kevin Love,1,3037.0,97,3037.0,97.0,31.309278350515463
Kyrie Irving,1,2441.0,74,2441.0,74.0,32.986486486486484
Iman Shumpert,1,1683.0,75,1683.0,75.0,22.44
JR Smith,2,3246.0,114,1623.0,57.0,28.473684210526315
Matthew Dellavedova,1,2108.0,96,2108.0,96.0,21.958333333333332
Channing Frye,1,1436.0,87,1436.0,87.0,16.50574712643678
Jordan McRae,1,200.0,24,200.0,24.0,8.333333333333334
Tristan Thompson,1,2891.0,103,2891.0,103.0,28.067961165048544
Sasha Kaun,1,95.0,25,95.0,25.0,3.8
Timofey Mozgov,1,1402.0,89,1402.0,89.0,15.752808988764045
Richard Jefferson,1,1707.0,95,1707.0,95.0,17.96842105263158
Dahntay Jones,1,92.0,16,92.0,16.0,5.75
Mo Williams,1,816.0,54,816.0,54.0,15.11111111111111
Patrick McCaw,3,2678.0,189,892.6666666666666,63.0,14.16931216931217
JaVale McGee,3,2926.0,253,975.3333333333334,84.33333333333333,11.565217391304348
David West,2,2249.0,176,1124.5,88.0,12.778409090909092
Kevon Looney,3,3924.0,244,1308.0,81.33333333333333,16.081967213114755
Damian Jones,2,206.0,33,103.0,16.5,6.242424242424242
Ian Clark,1,1356.0,93,1356.0,93.0,14.580645161290322
Matt Barnes,1,1837.0,86,1837.0,86.0,21.36046511627907
Zaza Pachulia,2,2478.0,161,1239.0,80.5,15.391304347826088
Kevin Durant,2,5735.0,166,2867.5,83.0,34.54819277108434
Jordan Bell,1,982.0,74,982.0,74.0,13.27027027027027
Quinn Cook,2,1448.0,100,724.0,50.0,14.48
Nick Young,1,1599.0,100,1599.0,100.0,15.99
O.G. Anunoby,1,1352.0,67,1352.0,67.0,20.17910447761194
Kyle Lowry,1,3113.0,89,3113.0,89.0,34.97752808988764
Jordan Loyd,1,55.0,12,55.0,12.0,4.583333333333333
Serge Ibaka,1,2510.0,98,2510.0,98.0,25.612244897959183
Malcolm Miller,1,95.0,20,95.0,20.0,4.75
Eric Moreland,1,71.0,13,71.0,13.0,5.461538461538462
Jeremy Lin,1,1463.0,82,1463.0,82.0,17.841463414634145
Jodie Meeks,1,171.0,22,171.0,22.0,7.7727272727272725
Fred VanVleet,1,2352.0,88,2352.0,88.0,26.727272727272727
Norman Powell,1,1492.0,83,1492.0,83.0,17.97590361445783
Chris Boucher,1,167.0,30,167.0,30.0,5.566666666666666
Marc Gasol,1,3171.0,103,3171.0,103.0,30.78640776699029
Pascal Siakam,1,3439.0,104,3439.0,104.0,33.06730769230769
Kyle Kuzma,1,2010.0,82,2010.0,82.0,24.51219512195122
Kentavious Caldwell-Pope,2,5422.0,186,2711.0,93.0,29.150537634408604
Anthony Davis,1,2900.0,83,2900.0,83.0,34.93975903614458
Alex Caruso,1,1685.0,85,1685.0,85.0,19.823529411764707
Talen Horton-Tucker,1,98.0,8,98.0,8.0,12.25
Jared Dudley,1,395.0,54,395.0,54.0,7.314814814814815
Avery Bradley,1,1186.0,49,1186.0,49.0,24.20408163265306
Devontae Cacok,1,9.0,1,9.0,1.0,9.0
Dion Waiters,1,245.0,15,245.0,15.0,16.333333333333332
Kostas Antetokounmpo,1,20.0,5,20.0,5.0,4.0
Dwight Howard,1,1588.0,87,1588.0,87.0,18.25287356321839
Markieff Morris,1,1574.0,79,1574.0,79.0,19.924050632911392
Donte DiVincenzo,1,1885.0,69,1885.0,69.0,27.318840579710145
Elijah Bryant,1,82.0,12,82.0,12.0,6.833333333333333
Jeff Teague,1,1069.0,71,1069.0,71.0,15.056338028169014
Bryn Forbes,1,1627.0,90,1627.0,90.0,18.07777777777778
Bobby Portis,1,1738.0,86,1738.0,86.0,20.209302325581394
Brook Lopez,1,2569.0,93,2569.0,93.0,27.623655913978496
Jordan Nwora,1,305.0,35,305.0,35.0,8.714285714285714
Sam Merrill,1,263.0,38,263.0,38.0,6.921052631578948
P.J. Tucker,1,2037.0,75,2037.0,75.0,27.16
Jrue Holiday,1,2819.0,82,2819.0,82.0,34.3780487804878
Khris Middleton,1,3191.0,91,3191.0,91.0,35.065934065934066
Pat Connaughton,1,2121.0,92,2121.0,92.0,23.054347826086957
Mamadi Diakite,1,176.0,21,176.0,21.0,8.380952380952381
Giannis Antetokounmpo,1,2813.0,82,2813.0,82.0,34.30487804878049
Thanasis Antetokounmpo,1,596.0,70,596.0,70.0,8.514285714285714
Justin Jackson,1,592.0,39,592.0,39.0,15.179487179487179
Axel Toupane,1,71.0,12,71.0,12.0,5.916666666666667
Jonathan Kuminga,1,1323.0,86,1323.0,86.0,15.383720930232558
Gary Payton II,1,1451.0,83,1451.0,83.0,17.481927710843372
Damion Lee,1,1381.0,79,1381.0,79.0,17.481012658227847
Chris Chiozza,1,372.0,34,372.0,34.0,10.941176470588236
Jordan Poole,1,2888.0,98,2888.0,98.0,29.46938775510204
Moses Moody,1,712.0,65,712.0,65.0,10.953846153846154
Nemanja Bjelica,1,1292.0,86,1292.0,86.0,15.023255813953488
Quinndary Weatherspoon,1,73.0,11,73.0,11.0,6.636363636363637
Andrew Wiggins,1,3097.0,95,3097.0,95.0,32.6
Otto Porter Jr.,1,1767.0,82,1767.0,82.0,21.548780487804876
James Wiseman,1,0.0,0,0.0,0.0,
Juan Toscano-Anderson,1,1043.0,87,1043.0,87.0,11.988505747126437
Christian Braun,1,1428.0,95,1428.0,95.0,15.031578947368422
Michael Porter Jr.,1,2451.0,82,2451.0,82.0,29.890243902439025
DeAndre Jordan,1,600.0,43,600.0,43.0,13.953488372093023
Reggie Jackson,1,1675.0,74,1675.0,74.0,22.635135135135137
Peyton Watson,1,200.0,28,200.0,28.0,7.142857142857143
Jack White,1,66.0,17,66.0,17.0,3.8823529411764706
Bruce Brown,1,2811.0,100,2811.0,100.0,28.11
Thomas Bryant,1,1083.0,60,1083.0,60.0,18.05
Ish Smith,1,410.0,47,410.0,47.0,8.72340425531915
Nikola Jokić,1,3112.0,89,3112.0,89.0,34.96629213483146
Collin Gillespie,1,0.0,0,0.0,0.0,
Zeke Nnaji,1,740.0,58,740.0,58.0,12.758620689655173
Jamal Murray,1,2932.0,85,2932.0,85.0,34.49411764705882
Vlatko Cancar,1,899.0,65,899.0,65.0,13.830769230769231
Jeff Green,1,1434.0,76,1434.0,76.0,18.86842105263158
Aaron Gordon,1,2768.0,88,2768.0,88.0,31.454545454545453
